,job_title,company_name,inferred_city,inferred_state,inferred_country,post_date,salary_offered
3712,Data Scientist,INFICARE TECHNOLOGIES,Sunnyvale,California,United states,7/2/2019,
3713,Data Scientist,TEKSYSTEMS,Charlotte,North carolina,United states,7/4/2019,
3714,Data Scientist,GM FINANCIAL,Fort worth,Texas,United states,7/3/2019,
3715,Data Scientist,REMEDY BPCI PARTNERS,New york,New york,United states,6/28/2019,
3716,Data Scientist,UNITED FIRE GROUP,Cedar rapids,Iowa,United states,6/28/2019,
3717,Data Scientist,QORDOBA,San francisco,California,United states,7/3/2019,
3718,Data Scientist,HMS,Irving,Texas,United states,7/3/2019,
3719,Data Scientist,TEXTRON AVIATION,Wichita,Kansas,United states,7/3/2019,
3720,Data Scientist,TUFTS UNIVERSITY,Medford,Massachusetts,United states,7/3/2019,
3721,Data Scientist,HMS,Irving,Texas,United states,7/3/2019,
3722,Data Scientist,SQUARE,Washington heights,New york,United states,6/28/2019,
3723,Data Scientist,REMEDY PARTNERS,New york,New york,United states,6/28/2019,
3724,Data Scientist,RIOT GAMES,Los angeles,California,United states,7/3/2019,
3725,Data Scientist,FIRST TECH FEDERAL CREDIT UNION,Hillsboro,Oregon,United states,7/3/2019,
3726,Data Scientist,SLICKDEALS,Las vegas,Nevada,United states,7/3/2019,
3727,Data Scientist,SPOTIFY,New york,New york,United states,7/3/2019,
3728,Data Scientist,IHERB.COM,Irvine,California,United states,6/29/2019,
3729,Data Scientist,RAKUTEN MARKETING,San mateo,California,United states,6/30/2019,
3730,Data Scientist,JET PROPULSION LABORATORY,,Louisiana,United states,6/28/2019,
3731,Data Scientist,ACCENTURE,Washington,District of columbia,United states,7/3/2019,
3732,Data Scientist,ABBOTT LABORATORIES,Irving,Texas,United states,7/3/2019,
3733,Data Scientist,AUDIBLE,,Oregon,United states,5/30/2019,
3734,Data Scientist,GUIDEHOUSE,Atlanta,Georgia,United states,7/3/2019,
3736,Data Scientist,VOLVO GROUP,Greensboro,North carolina,United states,7/2/2019,
3737,Data Scientist,APPLE,Austin,Texas,United states,7/2/2019,
3738,Data Scientist,GUIDEHOUSE,Atlanta,Georgia,United states,7/3/2019,
3739,Data Scientist,CENTURYLINK,Broomfield,Colorado,United states,7/3/2019,
3740,Data Scientist,VERIZON,Morristown,New jersey,United states,7/2/2019,
3741,Data Scientist,AMAZON WEB SERVICES,Houston,Texas,United states,7/2/2019,
3742,Data Scientist,VISA,Foster city,California,United states,7/2/2019,
3743,Data Scientist,BOOZ ALLEN HAMILTON,Chantilly,Virginia,United states,7/3/2019,
3744,Data Scientist,SOCIAL SCIENCE RESEARCH SOLUTIONS (SSRS),,Pennsylvania,United states,7/3/2019,
3745,Data Scientist,AT&T,Collinsville,Illinois,United states,7/3/2019,
3746,Data Scientist,SOCIAL SCIENCE RESEARCH SOLUTIONS (SSRS),,Pennsylvania,United states,7/2/2019,
3747,Data Scientist,NORTH WIND INFRASTRUCTURE AND TECHNOLOGY,Washington,District of columbia,United states,7/2/2019,
3748,Data Scientist,MACK TRUCKS,Greensboro,North carolina,United states,7/2/2019,
3749,Data Scientist,TALA,Santa monica,California,United states,7/2/2019,
3750,Data Scientist,SAP,Palo alto,California,United states,7/2/2019,
3751,Data Scientist,UNITED STATES OLYMPIC COMMITTEE,Colorado springs,Colorado,United states,7/2/2019,
3752,Data Scientist,VERIZON,Basking ridge,New jersey,United states,7/2/2019,
3753,Data Scientist,VOLVO GROUP,Greensboro,North carolina,United states,7/2/2019,
3754,Data Scientist,PRECIMA,,Oregon,United states,7/2/2019,
3755,Data Scientist,ACTIVISION,Woodland,California,United states,7/2/2019,
3756,Data Scientist,NORC AT THE UNIVERSITY OF CHICAGO,Chicago,Illinois,United states,7/2/2019,
3757,Data Scientist,TALA,Santa monica,California,United states,7/2/2019,
3758,Data Scientist,FACEBOOK,Menlo park,California,United states,7/2/2019,
3760,Data Scientist,VERIZON,Boston,Massachusetts,United states,7/3/2019,
3761,Data Scientist,SOCIAL SCIENCE RESEARCH SOLUTIONS (SSRS),,Pennsylvania,United states,7/3/2019,
3762,Data Scientist,NIELSEN,Emeryville,California,United states,7/3/2019,
3763,Data Scientist,NORC AT THE UNIVERSITY OF CHICAGO,Bethesda,Maryland,United states,7/4/2019,
3764,Data Scientist,VERISK,San francisco,California,United states,7/4/2019,
3765,Data Scientist,FORS MARSH GROUP,Arlington,Virginia,United states,7/4/2019,
3767,Data Scientist,SOCIAL SCIENCE RESEARCH SOLUTIONS (SSRS),,Pennsylvania,United states,7/4/2019,
3768,Data Scientist,SAP,Newport beach,California,United states,7/4/2019,
3769,Data Scientist,BAYER,Chesterfield,Missouri,United states,7/4/2019,
3770,Data Scientist,INTUIT,Mountain view,California,United states,7/4/2019,
3771,Data Scientist,PPD,Horsham,Pennsylvania,United states,7/4/2019,
3772,Data Scientist,PUBLICIS SPINE,San francisco,California,United states,7/4/2019,
3773,Data Scientist,PUBLICIS GROUPE,San francisco,California,United states,7/4/2019,
3774,Data Scientist,COMPANY INFO FOLLOW GET JOB UPDATES FROM VERIZON VERIZON,Basking ridge,New jersey,United states,7/4/2019,
